CLB1019 RESOURCE40305
CLB10190 RESOURCE56425
CLB10191 RESOURCE56420
CLB10192 RESOURCE56419
CLB10193 RESOURCE54976
CLB10194 RESOURCE55456
CLB10195 RESOURCE55457
CLB10196 RESOURCE54975
CLB10197 RESOURCE54495
CLB10198 RESOURCE56418
CLB10199 RESOURCE54016
CLB102 RESOURCE23916
CLB1020 RESOURCE41269
CLB10200 RESOURCE53535
CLB10201 RESOURCE53055
CLB10202 RESOURCE56993
CLB10203 RESOURCE56990
CLB10204 RESOURCE57473
CLB10205 RESOURCE54497
CLB10206 RESOURCE55459
CLB10207 RESOURCE55942
CLB10208 RESOURCE55455
CLB10209 RESOURCE56992
CLB1021 RESOURCE40306
CLB10210 RESOURCE55935
CLB10211 RESOURCE56422
CLB10212 RESOURCE54492
CLB10213 RESOURCE56988
CLB10214 RESOURCE54496
CLB10215 RESOURCE57474
CLB10216 RESOURCE52004
CLB10217 RESOURCE55465
CLB10218 RESOURCE54011
CLB10219 RESOURCE54973
CLB1022 RESOURCE41844
CLB10220 RESOURCE54491
CLB10221 RESOURCE54507
CLB10222 RESOURCE55934
CLB10223 RESOURCE55454
CLB10224 RESOURCE41898
CLB10225 RESOURCE51520
CLB10226 RESOURCE50560
CLB10227 RESOURCE55453
CLB10228 RESOURCE53070
CLB10229 RESOURCE54506
CLB1023 RESOURCE38865
CLB10230 RESOURCE54509
CLB10231 RESOURCE57005
CLB10232 RESOURCE55467
CLB10233 RESOURCE56427
CLB10234 RESOURCE57004
CLB10235 RESOURCE57003
CLB10236 RESOURCE57002
CLB10237 RESOURCE56423
CLB10238 RESOURCE57482
CLB10239 RESOURCE57479
CLB1024 RESOURCE37904
CLB10240 RESOURCE57481
CLB10241 RESOURCE58628
CLB10242 RESOURCE58156
CLB10243 RESOURCE58150
CLB10244 RESOURCE57476
CLB10245 RESOURCE42026
CLB10246 RESOURCE44021
CLB10247 RESOURCE58627
CLB10248 RESOURCE58157
CLB10249 RESOURCE56415
CLB1025 RESOURCE63479
CLB10250 RESOURCE58155
CLB10251 RESOURCE58635
CLB10252 RESOURCE49608
CLB10253 RESOURCE58153
CLB10254 RESOURCE58148
CLB10255 RESOURCE57480
CLB10256 RESOURCE58633
CLB10257 RESOURCE58637
CLB10258 RESOURCE46036
CLB10259 RESOURCE42385
CLB1026 RESOURCE36848
CLB10260 RESOURCE58629
CLB10261 RESOURCE41447
CLB10262 RESOURCE46037
CLB10263 RESOURCE41448
CLB10264 RESOURCE44595
CLB10265 RESOURCE58145
CLB10266 RESOURCE58151
CLB10267 RESOURCE58630
CLB10268 RESOURCE60070
CLB10269 RESOURCE59116
CLB1027 RESOURCE36847
CLB10270 RESOURCE60549
CLB10271 RESOURCE59595
CLB10272 RESOURCE45072
CLB10273 RESOURCE54488
CLB10274 RESOURCE46629
CLB10275 RESOURCE40969
CLB10276 RESOURCE47588
CLB10277 RESOURCE47111
CLB10278 RESOURCE40487
CLB10279 RESOURCE40485
CLB1028 RESOURCE40789
CLB10280 RESOURCE40492
CLB10281 RESOURCE40486
CLB10282 RESOURCE40972
CLB10283 RESOURCE40488
CLB10284 RESOURCE47585
CLB10285 RESOURCE56414
CLB10286 RESOURCE55448
CLB10287 RESOURCE52002
CLB10288 RESOURCE46628
CLB10289 RESOURCE39529
CLB1029 RESOURCE36846
CLB10290 RESOURCE40491
CLB10291 RESOURCE40013
CLB10292 RESOURCE39526
CLB10293 RESOURCE40010
CLB10294 RESOURCE40494
CLB10295 RESOURCE44135
CLB10296 RESOURCE49123
CLB10297 RESOURCE40012
CLB10298 RESOURCE46149
CLB10299 RESOURCE39532
CLB103 RESOURCE23438
CLB1030 RESOURCE41845
CLB10300 RESOURCE40014
CLB10301 RESOURCE46631
CLB10302 RESOURCE39046
CLB10303 RESOURCE38564
CLB10304 RESOURCE45670
CLB10305 RESOURCE46997
CLB10306 RESOURCE38573
CLB10307 RESOURCE39534
CLB10308 RESOURCE44136
CLB10309 RESOURCE39533
CLB1031 RESOURCE41267
CLB10310 RESOURCE46992
CLB10311 RESOURCE43175
CLB10312 RESOURCE39531
CLB10313 RESOURCE47109
CLB10314 RESOURCE49013
CLB10315 RESOURCE38086
CLB10316 RESOURCE38570
CLB10317 RESOURCE47956
CLB10318 RESOURCE48436
CLB10319 RESOURCE46517
CLB1032 RESOURCE35409
CLB10320 RESOURCE59594
CLB10321 RESOURCE60555
CLB10322 RESOURCE60553
CLB10323 RESOURCE59113
CLB10324 RESOURCE58632
CLB10325 RESOURCE60551
CLB10326 RESOURCE59114
CLB10327 RESOURCE61130
CLB10328 RESOURCE61608
CLB10329 RESOURCE61127
CLB1033 RESOURCE35887
CLB10330 RESOURCE46039
CLB10331 RESOURCE58154
CLB10332 RESOURCE57483
CLB10333 RESOURCE59586
CLB10334 RESOURCE58147
CLB10335 RESOURCE61126
CLB10336 RESOURCE44598
CLB10337 RESOURCE58146
CLB10338 RESOURCE57006
CLB10339 RESOURCE58626
CLB1034 RESOURCE36368
CLB10340 RESOURCE45080
CLB10341 RESOURCE60544
CLB10342 RESOURCE59106
CLB10343 RESOURCE44597
CLB10344 RESOURCE59105
CLB10345 RESOURCE44022
CLB10346 RESOURCE60548
CLB10347 RESOURCE57471
CLB10348 RESOURCE46518
CLB10349 RESOURCE55949
CLB1035 RESOURCE36369
CLB10350 RESOURCE60066
