CLB1 RESOURCE17581
CLB10 RESOURCE3625
CLB100 RESOURCE1236
CLB1000 RESOURCE60574
CLB10000 RESOURCE66049
CLB10001 RESOURCE66051
CLB10002 RESOURCE36071
CLB10003 RESOURCE39606
CLB10004 RESOURCE62582
CLB10005 RESOURCE59978
CLB10006 RESOURCE60468
CLB10007 RESOURCE55388
CLB10008 RESOURCE65072
CLB10009 RESOURCE65553
CLB1001 RESOURCE63648
CLB10010 RESOURCE61514
CLB10011 RESOURCE60002
CLB10012 RESOURCE38174
CLB10013 RESOURCE59505
CLB10014 RESOURCE64014
CLB10015 RESOURCE46557
CLB10016 RESOURCE69404
CLB10017 RESOURCE57414
CLB10018 RESOURCE69409
CLB10019 RESOURCE39612
CLB1002 RESOURCE33102
CLB10020 RESOURCE41949
CLB10021 RESOURCE56350
CLB10022 RESOURCE63058
CLB10023 RESOURCE56348
CLB10024 RESOURCE63542
CLB10025 RESOURCE49054
CLB10026 RESOURCE60483
CLB10027 RESOURCE62014
CLB10028 RESOURCE46077
CLB10029 RESOURCE60004
CLB1003 RESOURCE64130
CLB10030 RESOURCE63056
CLB10031 RESOURCE38652
CLB10032 RESOURCE68924
CLB10033 RESOURCE39607
CLB10034 RESOURCE56921
CLB10035 RESOURCE61524
CLB10036 RESOURCE68923
CLB10037 RESOURCE60003
CLB10038 RESOURCE61537
CLB10039 RESOURCE66045
CLB1004 RESOURCE64126
CLB10040 RESOURCE57391
CLB10041 RESOURCE38171
CLB10042 RESOURCE59042
CLB10043 RESOURCE37691
CLB10044 RESOURCE63533
CLB10045 RESOURCE64492
CLB10046 RESOURCE61521
CLB10047 RESOURCE67012
CLB10048 RESOURCE64512
CLB10049 RESOURCE59040
CLB1005 RESOURCE59609
CLB10050 RESOURCE67009
CLB10051 RESOURCE48475
CLB10052 RESOURCE63074
CLB10053 RESOURCE38653
CLB10054 RESOURCE61041
CLB10055 RESOURCE39133
CLB10056 RESOURCE39134
CLB10057 RESOURCE34153
CLB10058 RESOURCE38654
CLB10059 RESOURCE64495
CLB1006 RESOURCE63168
CLB10060 RESOURCE49050
CLB10061 RESOURCE61998
CLB10062 RESOURCE61518
CLB10063 RESOURCE61043
CLB10064 RESOURCE65550
CLB10065 RESOURCE45114
CLB10066 RESOURCE42429
CLB10067 RESOURCE60454
CLB10068 RESOURCE67964
CLB10069 RESOURCE59983
CLB1007 RESOURCE68539
CLB10070 RESOURCE63535
CLB10071 RESOURCE38650
CLB10072 RESOURCE60485
CLB10073 RESOURCE38173
CLB10074 RESOURCE61055
CLB10075 RESOURCE61522
CLB10076 RESOURCE60480
CLB10077 RESOURCE59989
CLB10078 RESOURCE60005
CLB10079 RESOURCE57408
CLB1008 RESOURCE59132
CLB10080 RESOURCE55868
CLB10081 RESOURCE65071
CLB10082 RESOURCE56357
CLB10083 RESOURCE60000
CLB10084 RESOURCE59022
CLB10085 RESOURCE52994
CLB10086 RESOURCE67966
CLB10087 RESOURCE59030
CLB10088 RESOURCE47517
CLB10089 RESOURCE60481
CLB1009 RESOURCE65185
CLB10090 RESOURCE59044
CLB10091 RESOURCE56358
CLB10092 RESOURCE61999
CLB10093 RESOURCE65552
CLB10094 RESOURCE43102
CLB10095 RESOURCE59038
CLB10096 RESOURCE39131
CLB10097 RESOURCE68447
CLB10098 RESOURCE67486
CLB10099 RESOURCE67004
CLB101 RESOURCE11032
CLB1010 RESOURCE67101
CLB10100 RESOURCE67965
CLB10101 RESOURCE62016
CLB10102 RESOURCE64029
CLB10103 RESOURCE51454
CLB10104 RESOURCE61052
CLB10105 RESOURCE63073
CLB10106 RESOURCE63053
CLB10107 RESOURCE65569
CLB10108 RESOURCE64511
CLB10109 RESOURCE59037
CLB1011 RESOURCE65660
CLB10110 RESOURCE63066
CLB10111 RESOURCE63550
CLB10112 RESOURCE63054
CLB10113 RESOURCE38657
CLB10114 RESOURCE38175
CLB10115 RESOURCE63051
CLB10116 RESOURCE61536
CLB10117 RESOURCE59520
CLB10118 RESOURCE58078
CLB10119 RESOURCE61535
CLB1012 RESOURCE66143
CLB10120 RESOURCE40903
CLB10121 RESOURCE49534
CLB10122 RESOURCE47992
CLB10123 RESOURCE45593
CLB10124 RESOURCE57401
CLB10125 RESOURCE69400
CLB10126 RESOURCE53475
CLB10127 RESOURCE44634
CLB10128 RESOURCE49052
CLB10129 RESOURCE56928
CLB1013 RESOURCE65662
CLB10130 RESOURCE50992
CLB10131 RESOURCE62598
CLB10132 RESOURCE61060
CLB10133 RESOURCE37696
CLB10134 RESOURCE55875
CLB10135 RESOURCE55869
CLB10136 RESOURCE50972
CLB10137 RESOURCE52991
CLB10138 RESOURCE60476
CLB10139 RESOURCE63534
CLB1014 RESOURCE65663
CLB10140 RESOURCE62577
CLB10141 RESOURCE63555
CLB10142 RESOURCE56351
CLB10143 RESOURCE57411
CLB10144 RESOURCE66529
CLB10145 RESOURCE56930
CLB10146 RESOURCE56929
CLB10147 RESOURCE54913
CLB10148 RESOURCE44631
CLB10149 RESOURCE55873
CLB1015 RESOURCE33580
CLB10150 RESOURCE58557
CLB10151 RESOURCE58558
CLB10152 RESOURCE37698
CLB10153 RESOURCE55870
CLB10154 RESOURCE63537
CLB10155 RESOURCE57412
CLB10156 RESOURCE55389
CLB10157 RESOURCE54912
CLB10158 RESOURCE55396
CLB10159 RESOURCE58077
CLB1016 RESOURCE64123
CLB10160 RESOURCE67006
CLB10161 RESOURCE66998
CLB10162 RESOURCE66515
CLB10163 RESOURCE66038
CLB10164 RESOURCE69397
CLB10165 RESOURCE39137
CLB10166 RESOURCE67001
CLB10167 RESOURCE68436
CLB10168 RESOURCE63543
CLB10169 RESOURCE68434
CLB1017 RESOURCE62684
CLB10170 RESOURCE66521
CLB10171 RESOURCE66517
CLB10172 RESOURCE69395
CLB10173 RESOURCE65556
CLB10174 RESOURCE67000
CLB10175 RESOURCE67484
CLB10176 RESOURCE61533
CLB10177 RESOURCE64011
CLB10178 RESOURCE67474
CLB10179 RESOURCE63546
CLB1018 RESOURCE63646
CLB10180 RESOURCE63067
CLB10181 RESOURCE67479
CLB10182 RESOURCE66040
CLB10183 RESOURCE63062
CLB10184 RESOURCE68914
CLB10185 RESOURCE61528
CLB10186 RESOURCE61529
CLB10187 RESOURCE38658
CLB10188 RESOURCE65557
CLB10189 RESOURCE65080
CLB1019 RESOURCE66625
CLB10190 RESOURCE65076
CLB10191 RESOURCE69398
CLB10192 RESOURCE56347
CLB10193 RESOURCE66992
CLB10194 RESOURCE59513
CLB10195 RESOURCE58081
CLB10196 RESOURCE63551
CLB10197 RESOURCE62589
CLB10198 RESOURCE59991
CLB10199 RESOURCE59033
CLB102 RESOURCE2197
CLB1020 RESOURCE64128
CLB10200 RESOURCE38178
CLB10201 RESOURCE68442
CLB10202 RESOURCE67478
CLB10203 RESOURCE63536
CLB10204 RESOURCE63541
CLB10205 RESOURCE60473
CLB10206 RESOURCE56927
CLB10207 RESOURCE62590
CLB10208 RESOURCE40572
CLB10209 RESOURCE60459
CLB1021 RESOURCE57022
CLB10210 RESOURCE67480
CLB10211 RESOURCE66043
CLB10212 RESOURCE65084
CLB10213 RESOURCE42108
CLB10214 RESOURCE64021
CLB10215 RESOURCE68918
CLB10216 RESOURCE65075
CLB10217 RESOURCE65077
CLB10218 RESOURCE65566
CLB10219 RESOURCE68435
CLB1022 RESOURCE33582
CLB10220 RESOURCE67483
CLB10221 RESOURCE65554
CLB10222 RESOURCE68443
CLB10223 RESOURCE63068
CLB10224 RESOURCE67003
CLB10225 RESOURCE64508
CLB10226 RESOURCE61532
CLB10227 RESOURCE42589
CLB10228 RESOURCE42428
CLB10229 RESOURCE65074
CLB1023 RESOURCE66621
CLB10230 RESOURCE66994
CLB10231 RESOURCE65558
CLB10232 RESOURCE66033
CLB10233 RESOURCE67475
CLB10234 RESOURCE42109
CLB10235 RESOURCE65073
CLB10236 RESOURCE54439
CLB10237 RESOURCE54931
CLB10238 RESOURCE62010
CLB10239 RESOURCE58074
CLB1024 RESOURCE61147
CLB10240 RESOURCE64494
CLB10241 RESOURCE60472
CLB10242 RESOURCE65562
CLB10243 RESOURCE67005
CLB10244 RESOURCE65555
CLB10245 RESOURCE69402
CLB10246 RESOURCE61049
CLB10247 RESOURCE59988
CLB10248 RESOURCE64496
CLB10249 RESOURCE62588
CLB1025 RESOURCE69022
CLB10250 RESOURCE65563
CLB10251 RESOURCE63539
CLB10252 RESOURCE63552
CLB10253 RESOURCE63547
CLB10254 RESOURCE59995
CLB10255 RESOURCE64018
CLB10256 RESOURCE41052
CLB10257 RESOURCE66037
CLB10258 RESOURCE65570
CLB10259 RESOURCE61525
CLB1026 RESOURCE64131
CLB10260 RESOURCE69408
CLB10261 RESOURCE67472
CLB10262 RESOURCE66520
CLB10263 RESOURCE66039
CLB10264 RESOURCE41531
CLB10265 RESOURCE66995
CLB10266 RESOURCE65560
CLB10267 RESOURCE65086
CLB10268 RESOURCE58553
CLB10269 RESOURCE68920
CLB1027 RESOURCE65661
CLB10270 RESOURCE63544
CLB10271 RESOURCE67969
CLB10272 RESOURCE64500
CLB10273 RESOURCE62003
CLB10274 RESOURCE64501
CLB10275 RESOURCE65078
CLB10276 RESOURCE63065
CLB10277 RESOURCE66034
CLB10278 RESOURCE64025
CLB10279 RESOURCE63548
CLB1028 RESOURCE68536
CLB10280 RESOURCE66035
CLB10281 RESOURCE67952
CLB10282 RESOURCE64017
CLB10283 RESOURCE63061
CLB10284 RESOURCE64507
CLB10285 RESOURCE62593
CLB10286 RESOURCE61526
CLB10287 RESOURCE56922
CLB10288 RESOURCE61056
CLB10289 RESOURCE40570
CLB1029 RESOURCE68540
CLB10290 RESOURCE58555
CLB10291 RESOURCE62587
CLB10292 RESOURCE59523
CLB10293 RESOURCE64015
CLB10294 RESOURCE59516
CLB10295 RESOURCE67476
CLB10296 RESOURCE66523
CLB10297 RESOURCE61047
CLB10298 RESOURCE67007
CLB10299 RESOURCE40571
CLB103 RESOURCE2193
CLB1030 RESOURCE68543
CLB10300 RESOURCE40569
CLB10301 RESOURCE66518
CLB10302 RESOURCE67954
CLB10303 RESOURCE68432
CLB10304 RESOURCE66514
CLB10305 RESOURCE41534
CLB10306 RESOURCE65087
CLB10307 RESOURCE65567
CLB10308 RESOURCE60471
CLB10309 RESOURCE52985
CLB1031 RESOURCE67102
CLB10310 RESOURCE59036
CLB10311 RESOURCE62011
CLB10312 RESOURCE67958
CLB10313 RESOURCE66522
CLB10314 RESOURCE62586
CLB10315 RESOURCE62578
CLB10316 RESOURCE59511
CLB10317 RESOURCE63064
CLB10318 RESOURCE58072
CLB10319 RESOURCE62007
CLB1032 RESOURCE67103
CLB10320 RESOURCE59993
CLB10321 RESOURCE62584
CLB10322 RESOURCE65565
CLB10323 RESOURCE67485
CLB10324 RESOURCE41055
CLB10325 RESOURCE41053
CLB10326 RESOURCE41536
CLB10327 RESOURCE62581
CLB10328 RESOURCE68916
CLB10329 RESOURCE62579
CLB1033 RESOURCE32622
CLB10330 RESOURCE63057
CLB10331 RESOURCE63060
CLB10332 RESOURCE66036
CLB10333 RESOURCE54904
CLB10334 RESOURCE58544
CLB10335 RESOURCE58062
CLB10336 RESOURCE58542
CLB10337 RESOURCE40573
CLB10338 RESOURCE58058
CLB10339 RESOURCE52504
CLB1034 RESOURCE67583
